[2025-03-16T03:50:34.744+0000] {local_task_job_runner.py:123} INFO - ::group::Pre task execution logs
[2025-03-16T03:50:34.759+0000] {taskinstance.py:2613} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: data_pipeline.bronze_layer_group.quality_check_raw_data scheduled__2025-03-16T02:00:00+00:00 [queued]>
[2025-03-16T03:50:34.767+0000] {taskinstance.py:2613} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: data_pipeline.bronze_layer_group.quality_check_raw_data scheduled__2025-03-16T02:00:00+00:00 [queued]>
[2025-03-16T03:50:34.767+0000] {taskinstance.py:2866} INFO - Starting attempt 1 of 4
[2025-03-16T03:50:34.779+0000] {taskinstance.py:2889} INFO - Executing <Task(_PythonDecoratedOperator): bronze_layer_group.quality_check_raw_data> on 2025-03-16 02:00:00+00:00
[2025-03-16T03:50:34.788+0000] {standard_task_runner.py:72} INFO - Started process 362 to run task
[2025-03-16T03:50:34.795+0000] {standard_task_runner.py:104} INFO - Running: ['***', 'tasks', 'run', 'data_pipeline', 'bronze_layer_group.quality_check_raw_data', 'scheduled__2025-03-16T02:00:00+00:00', '--job-id', '111', '--raw', '--subdir', 'DAGS_FOLDER/data_pipeline.py', '--cfg-path', '/tmp/tmpjobqymjm']
[2025-03-16T03:50:34.797+0000] {standard_task_runner.py:105} INFO - Job 111: Subtask bronze_layer_group.quality_check_raw_data
[2025-03-16T03:50:34.853+0000] {task_command.py:467} INFO - Running <TaskInstance: data_pipeline.bronze_layer_group.quality_check_raw_data scheduled__2025-03-16T02:00:00+00:00 [running]> on host c891f3a5df31
[2025-03-16T03:50:34.945+0000] {taskinstance.py:3132} INFO - Exporting env vars: AIRFLOW_CTX_DAG_OWNER='***' AIRFLOW_CTX_DAG_ID='data_pipeline' AIRFLOW_CTX_TASK_ID='bronze_layer_group.quality_check_raw_data' AIRFLOW_CTX_EXECUTION_DATE='2025-03-16T02:00:00+00:00' AIRFLOW_CTX_TRY_NUMBER='1' AIRFLOW_CTX_DAG_RUN_ID='scheduled__2025-03-16T02:00:00+00:00'
[2025-03-16T03:50:34.946+0000] {taskinstance.py:731} INFO - ::endgroup::
[2025-03-16T03:50:34.955+0000] {log.py:232} WARNING - 2025-03-16 03:50:34.954 | INFO     | data_pipeline.bronze.validate_raw_data:validate_raw_data:171 - Initial columns: ['VendorID', 'lpep_pickup_datetime', 'lpep_dropoff_datetime', 'store_and_fwd_flag', 'RatecodeID', 'PULocationID', 'DOLocationID', 'passenger_count', 'trip_distance', 'fare_amount', 'extra', 'mta_tax', 'tip_amount', 'tolls_amount', 'ehail_fee', 'improvement_surcharge', 'total_amount', 'payment_type', 'trip_type', 'congestion_surcharge']
[2025-03-16T03:50:35.010+0000] {log.py:232} WARNING - 2025-03-16 03:50:35.010 | ERROR    | data_pipeline.bronze.validate_raw_data:validate_record:47 - Missing required field tpep_pickup_datetime for record: {'VendorID': 2, 'lpep_pickup_datetime': '2024-03-01 00:22:50', 'lpep_dropoff_datetime': '2024-03-01 00:27:10', 'store_and_fwd_flag': 'N', 'RatecodeID': 1.0, 'PULocationID': 7, 'DOLocationID': 7, 'passenger_count': 5.0, 'trip_distance': 0.76, 'fare_amount': 6.5, 'extra': 1.0, 'mta_tax': 0.5, 'tip_amount': 1.8, 'tolls_amount': 0.0, 'ehail_fee': nan, 'improvement_surcharge': 1.0, 'total_amount': 10.8, 'payment_type': 1.0, 'trip_type': 1.0, 'congestion_surcharge': 0.0, 'record_hash': '94dfd44d784fe40fa96518c37ee50986ba040c8713bb6160b1cc39cb58a3eb88'}
[2025-03-16T03:50:35.011+0000] {log.py:232} WARNING - 2025-03-16 03:50:35.010 | ERROR    | data_pipeline.bronze.validate_raw_data:validate_record:47 - Missing required field tpep_pickup_datetime for record: {'VendorID': 2, 'lpep_pickup_datetime': '2024-03-01 00:26:48', 'lpep_dropoff_datetime': '2024-03-01 00:31:49', 'store_and_fwd_flag': 'N', 'RatecodeID': 1.0, 'PULocationID': 116, 'DOLocationID': 42, 'passenger_count': 1.0, 'trip_distance': 0.87, 'fare_amount': 7.2, 'extra': 1.0, 'mta_tax': 0.5, 'tip_amount': 0.0, 'tolls_amount': 0.0, 'ehail_fee': nan, 'improvement_surcharge': 1.0, 'total_amount': 9.7, 'payment_type': 1.0, 'trip_type': 1.0, 'congestion_surcharge': 0.0, 'record_hash': '94dfd44d784fe40fa96518c37ee50986ba040c8713bb6160b1cc39cb58a3eb88'}
[2025-03-16T03:50:35.011+0000] {log.py:232} WARNING - 2025-03-16 03:50:35.011 | ERROR    | data_pipeline.bronze.validate_raw_data:validate_record:47 - Missing required field tpep_pickup_datetime for record: {'VendorID': 2, 'lpep_pickup_datetime': '2024-03-01 00:16:40', 'lpep_dropoff_datetime': '2024-03-01 00:16:45', 'store_and_fwd_flag': 'N', 'RatecodeID': 5.0, 'PULocationID': 134, 'DOLocationID': 134, 'passenger_count': 1.0, 'trip_distance': 0.0, 'fare_amount': 50.0, 'extra': 0.0, 'mta_tax': 0.0, 'tip_amount': 0.0, 'tolls_amount': 0.0, 'ehail_fee': nan, 'improvement_surcharge': 1.0, 'total_amount': 51.0, 'payment_type': 1.0, 'trip_type': 2.0, 'congestion_surcharge': 0.0, 'record_hash': '94dfd44d784fe40fa96518c37ee50986ba040c8713bb6160b1cc39cb58a3eb88'}
[2025-03-16T03:50:35.011+0000] {log.py:232} WARNING - 2025-03-16 03:50:35.011 | ERROR    | data_pipeline.bronze.validate_raw_data:validate_record:47 - Missing required field tpep_pickup_datetime for record: {'VendorID': 2, 'lpep_pickup_datetime': '2024-03-01 00:07:35', 'lpep_dropoff_datetime': '2024-03-01 00:17:48', 'store_and_fwd_flag': 'N', 'RatecodeID': 1.0, 'PULocationID': 92, 'DOLocationID': 252, 'passenger_count': 1.0, 'trip_distance': 3.59, 'fare_amount': 17.0, 'extra': 1.0, 'mta_tax': 0.5, 'tip_amount': 0.0, 'tolls_amount': 0.0, 'ehail_fee': nan, 'improvement_surcharge': 1.0, 'total_amount': 19.5, 'payment_type': 2.0, 'trip_type': 1.0, 'congestion_surcharge': 0.0, 'record_hash': '94dfd44d784fe40fa96518c37ee50986ba040c8713bb6160b1cc39cb58a3eb88'}
[2025-03-16T03:50:35.012+0000] {log.py:232} WARNING - 2025-03-16 03:50:35.012 | ERROR    | data_pipeline.bronze.validate_raw_data:validate_record:47 - Missing required field tpep_pickup_datetime for record: {'VendorID': 2, 'lpep_pickup_datetime': '2024-03-01 00:57:52', 'lpep_dropoff_datetime': '2024-03-01 00:58:19', 'store_and_fwd_flag': 'N', 'RatecodeID': 5.0, 'PULocationID': 92, 'DOLocationID': 92, 'passenger_count': 1.0, 'trip_distance': 0.0, 'fare_amount': 200.0, 'extra': 0.0, 'mta_tax': 0.0, 'tip_amount': 0.0, 'tolls_amount': 0.0, 'ehail_fee': nan, 'improvement_surcharge': 1.0, 'total_amount': 201.0, 'payment_type': 2.0, 'trip_type': 2.0, 'congestion_surcharge': 0.0, 'record_hash': '94dfd44d784fe40fa96518c37ee50986ba040c8713bb6160b1cc39cb58a3eb88'}
[2025-03-16T03:50:35.012+0000] {log.py:232} WARNING - 2025-03-16 03:50:35.012 | ERROR    | data_pipeline.bronze.validate_raw_data:validate_record:47 - Missing required field tpep_pickup_datetime for record: {'VendorID': 2, 'lpep_pickup_datetime': '2024-03-01 00:00:57', 'lpep_dropoff_datetime': '2024-03-01 00:08:23', 'store_and_fwd_flag': 'N', 'RatecodeID': 1.0, 'PULocationID': 65, 'DOLocationID': 181, 'passenger_count': 1.0, 'trip_distance': 1.3, 'fare_amount': 9.3, 'extra': 1.0, 'mta_tax': 0.5, 'tip_amount': 2.36, 'tolls_amount': 0.0, 'ehail_fee': nan, 'improvement_surcharge': 1.0, 'total_amount': 14.16, 'payment_type': 1.0, 'trip_type': 1.0, 'congestion_surcharge': 0.0, 'record_hash': '94dfd44d784fe40fa96518c37ee50986ba040c8713bb6160b1cc39cb58a3eb88'}
[2025-03-16T03:50:35.013+0000] {log.py:232} WARNING - 2025-03-16 03:50:35.012 | ERROR    | data_pipeline.bronze.validate_raw_data:validate_record:47 - Missing required field tpep_pickup_datetime for record: {'VendorID': 2, 'lpep_pickup_datetime': '2024-03-01 00:35:09', 'lpep_dropoff_datetime': '2024-03-01 00:43:33', 'store_and_fwd_flag': 'N', 'RatecodeID': 1.0, 'PULocationID': 65, 'DOLocationID': 49, 'passenger_count': 1.0, 'trip_distance': 1.62, 'fare_amount': 10.7, 'extra': 1.0, 'mta_tax': 0.5, 'tip_amount': 3.3, 'tolls_amount': 0.0, 'ehail_fee': nan, 'improvement_surcharge': 1.0, 'total_amount': 16.5, 'payment_type': 1.0, 'trip_type': 1.0, 'congestion_surcharge': 0.0, 'record_hash': '94dfd44d784fe40fa96518c37ee50986ba040c8713bb6160b1cc39cb58a3eb88'}
[2025-03-16T03:50:35.013+0000] {log.py:232} WARNING - 2025-03-16 03:50:35.013 | ERROR    | data_pipeline.bronze.validate_raw_data:validate_record:47 - Missing required field tpep_pickup_datetime for record: {'VendorID': 2, 'lpep_pickup_datetime': '2024-03-01 00:28:32', 'lpep_dropoff_datetime': '2024-03-01 00:39:13', 'store_and_fwd_flag': 'N', 'RatecodeID': 1.0, 'PULocationID': 181, 'DOLocationID': 89, 'passenger_count': 1.0, 'trip_distance': 2.64, 'fare_amount': 14.2, 'extra': 1.0, 'mta_tax': 0.5, 'tip_amount': 3.34, 'tolls_amount': 0.0, 'ehail_fee': nan, 'improvement_surcharge': 1.0, 'total_amount': 20.04, 'payment_type': 1.0, 'trip_type': 1.0, 'congestion_surcharge': 0.0, 'record_hash': '94dfd44d784fe40fa96518c37ee50986ba040c8713bb6160b1cc39cb58a3eb88'}
[2025-03-16T03:50:35.013+0000] {log.py:232} WARNING - 2025-03-16 03:50:35.013 | ERROR    | data_pipeline.bronze.validate_raw_data:validate_record:47 - Missing required field tpep_pickup_datetime for record: {'VendorID': 2, 'lpep_pickup_datetime': '2024-03-01 00:19:31', 'lpep_dropoff_datetime': '2024-03-01 00:54:04', 'store_and_fwd_flag': 'N', 'RatecodeID': 1.0, 'PULocationID': 129, 'DOLocationID': 82, 'passenger_count': 2.0, 'trip_distance': 2.72, 'fare_amount': 28.9, 'extra': 1.0, 'mta_tax': 0.5, 'tip_amount': 0.0, 'tolls_amount': 0.0, 'ehail_fee': nan, 'improvement_surcharge': 1.0, 'total_amount': 31.4, 'payment_type': 2.0, 'trip_type': 1.0, 'congestion_surcharge': 0.0, 'record_hash': '94dfd44d784fe40fa96518c37ee50986ba040c8713bb6160b1cc39cb58a3eb88'}
[2025-03-16T03:50:35.014+0000] {log.py:232} WARNING - 2025-03-16 03:50:35.014 | ERROR    | data_pipeline.bronze.validate_raw_data:validate_record:47 - Missing required field tpep_pickup_datetime for record: {'VendorID': 2, 'lpep_pickup_datetime': '2024-02-29 23:52:29', 'lpep_dropoff_datetime': '2024-02-29 23:58:08', 'store_and_fwd_flag': 'N', 'RatecodeID': 1.0, 'PULocationID': 41, 'DOLocationID': 42, 'passenger_count': 3.0, 'trip_distance': 1.3, 'fare_amount': 8.6, 'extra': 1.0, 'mta_tax': 0.5, 'tip_amount': 2.78, 'tolls_amount': 0.0, 'ehail_fee': nan, 'improvement_surcharge': 1.0, 'total_amount': 13.88, 'payment_type': 1.0, 'trip_type': 1.0, 'congestion_surcharge': 0.0, 'record_hash': '94dfd44d784fe40fa96518c37ee50986ba040c8713bb6160b1cc39cb58a3eb88'}
[2025-03-16T03:50:35.014+0000] {log.py:232} WARNING - 2025-03-16 03:50:35.014 | ERROR    | data_pipeline.bronze.validate_raw_data:validate_record:47 - Missing required field tpep_pickup_datetime for record: {'VendorID': 2, 'lpep_pickup_datetime': '2024-02-29 23:56:54', 'lpep_dropoff_datetime': '2024-03-01 00:21:22', 'store_and_fwd_flag': 'N', 'RatecodeID': 1.0, 'PULocationID': 7, 'DOLocationID': 196, 'passenger_count': 5.0, 'trip_distance': 8.4, 'fare_amount': 34.5, 'extra': 1.0, 'mta_tax': 0.5, 'tip_amount': 0.0, 'tolls_amount': 0.0, 'ehail_fee': nan, 'improvement_surcharge': 1.0, 'total_amount': 37.0, 'payment_type': 2.0, 'trip_type': 1.0, 'congestion_surcharge': 0.0, 'record_hash': '94dfd44d784fe40fa96518c37ee50986ba040c8713bb6160b1cc39cb58a3eb88'}
[2025-03-16T03:50:35.015+0000] {log.py:232} WARNING - 2025-03-16 03:50:35.014 | ERROR    | data_pipeline.bronze.validate_raw_data:validate_record:47 - Missing required field tpep_pickup_datetime for record: {'VendorID': 2, 'lpep_pickup_datetime': '2024-03-01 00:24:24', 'lpep_dropoff_datetime': '2024-03-01 00:38:44', 'store_and_fwd_flag': 'N', 'RatecodeID': 1.0, 'PULocationID': 82, 'DOLocationID': 82, 'passenger_count': 3.0, 'trip_distance': 2.0, 'fare_amount': 14.2, 'extra': 1.0, 'mta_tax': 0.5, 'tip_amount': 3.34, 'tolls_amount': 0.0, 'ehail_fee': nan, 'improvement_surcharge': 1.0, 'total_amount': 20.04, 'payment_type': 1.0, 'trip_type': 1.0, 'congestion_surcharge': 0.0, 'record_hash': '94dfd44d784fe40fa96518c37ee50986ba040c8713bb6160b1cc39cb58a3eb88'}
[2025-03-16T03:50:35.015+0000] {log.py:232} WARNING - 2025-03-16 03:50:35.015 | ERROR    | data_pipeline.bronze.validate_raw_data:validate_record:47 - Missing required field tpep_pickup_datetime for record: {'VendorID': 2, 'lpep_pickup_datetime': '2024-03-01 00:58:05', 'lpep_dropoff_datetime': '2024-03-01 00:58:07', 'store_and_fwd_flag': 'N', 'RatecodeID': 5.0, 'PULocationID': 264, 'DOLocationID': 264, 'passenger_count': 1.0, 'trip_distance': 0.0, 'fare_amount': 9.0, 'extra': 0.0, 'mta_tax': 0.0, 'tip_amount': 0.0, 'tolls_amount': 0.0, 'ehail_fee': nan, 'improvement_surcharge': 1.0, 'total_amount': 10.0, 'payment_type': 1.0, 'trip_type': 2.0, 'congestion_surcharge': 0.0, 'record_hash': '94dfd44d784fe40fa96518c37ee50986ba040c8713bb6160b1cc39cb58a3eb88'}
[2025-03-16T03:50:35.015+0000] {log.py:232} WARNING - 2025-03-16 03:50:35.015 | ERROR    | data_pipeline.bronze.validate_raw_data:validate_record:47 - Missing required field tpep_pickup_datetime for record: {'VendorID': 2, 'lpep_pickup_datetime': '2024-03-01 00:49:38', 'lpep_dropoff_datetime': '2024-03-01 01:12:54', 'store_and_fwd_flag': 'N', 'RatecodeID': 1.0, 'PULocationID': 74, 'DOLocationID': 259, 'passenger_count': 1.0, 'trip_distance': 9.92, 'fare_amount': 41.5, 'extra': 1.0, 'mta_tax': 0.5, 'tip_amount': 8.8, 'tolls_amount': 0.0, 'ehail_fee': nan, 'improvement_surcharge': 1.0, 'total_amount': 52.8, 'payment_type': 1.0, 'trip_type': 1.0, 'congestion_surcharge': 0.0, 'record_hash': '94dfd44d784fe40fa96518c37ee50986ba040c8713bb6160b1cc39cb58a3eb88'}
[2025-03-16T03:50:35.016+0000] {log.py:232} WARNING - 2025-03-16 03:50:35.016 | ERROR    | data_pipeline.bronze.validate_raw_data:validate_record:47 - Missing required field tpep_pickup_datetime for record: {'VendorID': 2, 'lpep_pickup_datetime': '2024-03-01 00:22:34', 'lpep_dropoff_datetime': '2024-03-01 00:22:38', 'store_and_fwd_flag': 'N', 'RatecodeID': 5.0, 'PULocationID': 10, 'DOLocationID': 10, 'passenger_count': 1.0, 'trip_distance': 0.0, 'fare_amount': 14.0, 'extra': 0.0, 'mta_tax': 0.0, 'tip_amount': 3.0, 'tolls_amount': 0.0, 'ehail_fee': nan, 'improvement_surcharge': 1.0, 'total_amount': 18.0, 'payment_type': 1.0, 'trip_type': 2.0, 'congestion_surcharge': 0.0, 'record_hash': '94dfd44d784fe40fa96518c37ee50986ba040c8713bb6160b1cc39cb58a3eb88'}
